PRICES ARE IN CAD,,,,,
Component,,Link,Quantity,Total Price,
,,,,,
Frame,,,,,
Raspberry Pi 4,,ALREADY OWN,,,
ESP-32 Cam or Logitech Webcam,,ALREADY OWN,,,
,,,,,
,,,,,
Miscellanious,,,,,
M5 Heat Inserts 5mm ,,https://www.aliexpress.com/item/1005003582355741.html?spm=a2g0o.productlist.main.1.1dbd454aBmabmw&algo_pvid=3ca6391f-569b-4c94-b4c4-97b432c363bb&algo_exp_id=3ca6391f-569b-4c94-b4c4-97b432c363bb-0&pdp_ext_f=%7B%22order%22%3A%2218886%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%213.01%212.79%21%21%212.06%211.91%21%402101efeb17429401543336561e281f%2112000026370649721%21sea%21CA%216156843420%21X&curPageLogUid=xZ1tzntwvWrF&utparam-url=scene%3Asearch%7Cquery_from%3A,50,4.1,
AC Plug Cable C13,,https://www.aliexpress.com/item/1005007246670217.html?spm=a2g0o.productlist.main.3.302boga6oga66X&algo_pvid=692b711d-f314-45eb-9d1a-81e47ba008b6&algo_exp_id=692b711d-f314-45eb-9d1a-81e47ba008b6-1&pdp_ext_f=%7B%22order%22%3A%22600%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%215.03%214.79%21%21%2124.94%2123.77%21%40210318ec17429432896773262e9b1e%2112000039934907972%21sea%21CA%216156843420%21X&curPageLogUid=8HI1QmJGO9rw&utparam-url=scene%3Asearch%7Cquery_from%3A,1,5.09,
C13 Male Adapter,,https://www.aliexpress.com/item/1005005667999398.html?spm=a2g0o.productlist.main.1.252a178eoxuV3H&algo_pvid=81e3893a-f113-4be3-98e5-849a3260cbf5&algo_exp_id=81e3893a-f113-4be3-98e5-849a3260cbf5-0&pdp_ext_f=%7B%22order%22%3A%222185%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.08%211.99%21%21%2110.32%219.87%21%40210337bc17429437112433949eaeb9%2112000033951904780%21sea%21CA%216156843420%21X&curPageLogUid=PC3LFXfVRCBl&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description,1,2.84,
16 AWG Wire,,https://www.aliexpress.com/item/1005007402451640.html?spm=a2g0o.cart.0.0.51dd38daVxDVAc&mp=1&pdp_npi=5%40dis%21CAD%21CAD%203.57%21CAD%201.54%21%21%21%21%21%402103146c17429442620982991ed6bb%2112000040594784728%21ct%21CA%216156843420%21%211%210,2,4.29,
3030 Fans,,https://www.aliexpress.com/item/32874940278.html?spm=a2g0o.cart.0.0.710238daKTSIs8&mp=1&pdp_npi=5%40dis%21CAD%21CAD%201.66%21CAD%201.45%21%21%21%21%21%4021030ea417416598562856655e8013%2112000024338305488%21ct%21CA%216156843420%21%212%210,3,6.24,
,,,,,
Sub Total,,,,443.49,
Total + Shipping,,,,481,
Grand Total (w coupons),,,,422 CAD,295.61 USD
